division_id,division_label,source_division_id,source_division_label,season_code,season_year,season_term,game_id,game_url,table_index,team_name,team_lineage_id,team_season_id,pts,reb,ast,stl,blk,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,tov,pf
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2026W,2026,W,1-chess-not-checkers-vs-5-mr-beast,https://tdlbasketball.com/event/1-chess-not-checkers-vs-5-mr-beast/,1,Chess Not Checkers,d2_thursdays:chess-not-checkers,d2_thursdays:chess-not-checkers:2026W,80,30,20,9,1,27,50,0.54,10,25,0.4,16,20,0.8,6,14
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2026W,2026,W,1-chess-not-checkers-vs-5-mr-beast,https://tdlbasketball.com/event/1-chess-not-checkers-vs-5-mr-beast/,2,Mr. Beast,d2_thursdays:mr-beast,d2_thursdays:mr-beast:2026W,53,24,10,3,1,16,45,0.356,6,25,0.24,15,21,0.714,10,12
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025Su,2025,SU,1-manhattan-elite-vs-8-brickstone-associates,https://tdlbasketball.com/event/1-manhattan-elite-vs-8-brickstone-associates/,1,Manhattan Elite,d3_mondays:manhattan-elite,d3_mondays:manhattan-elite:2025Su,74,43,19,6,3,26,68,0.382,10,29,0.345,12,14,0.857,9,12
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025Su,2025,SU,1-manhattan-elite-vs-8-brickstone-associates,https://tdlbasketball.com/event/1-manhattan-elite-vs-8-brickstone-associates/,2,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2025Su,71,45,17,8,5,29,77,0.377,9,36,0.25,4,10,0.4,9,10
d3_tuesdays,D3 Tuesdays,d3_mondays,D3 Mondays,2026W,2026,W,1-spark-plugs-vs-4-jp-junior-varsity-2,https://tdlbasketball.com/event/1-spark-plugs-vs-4-jp-junior-varsity-2/,1,Spark Plugs,d3_tuesdays:spark-plugs,d3_tuesdays:spark-plugs:2026W,82,60,19,10,6,33,91,0.363,8,27,0.296,8,12,0.667,8,3
d3_tuesdays,D3 Tuesdays,d3_mondays,D3 Mondays,2026W,2026,W,1-spark-plugs-vs-4-jp-junior-varsity-2,https://tdlbasketball.com/event/1-spark-plugs-vs-4-jp-junior-varsity-2/,2,JP Junior Varsity,d3_tuesdays:jp-junior-varsity,d3_tuesdays:jp-junior-varsity:2026W,65,35,17,6,4,26,69,0.377,13,41,0.317,0,0,0.0,15,8
d3_sundays,D3 Sundays,d3_mondays,D3 Mondays,2025Su,2025,SU,12th-c-franciscan-mystics-vs-ball-is-life,https://tdlbasketball.com/event/12th-c-franciscan-mystics-vs-ball-is-life/,1,12th C. Franciscan Mystics,d3_sundays:12th-c-franciscan-mystics,d3_sundays:12th-c-franciscan-mystics:2025Su,63,49,14,8,14,24,61,0.393,6,20,0.3,9,18,0.5,13,6
d3_sundays,D3 Sundays,d3_mondays,D3 Mondays,2025Su,2025,SU,12th-c-franciscan-mystics-vs-ball-is-life,https://tdlbasketball.com/event/12th-c-franciscan-mystics-vs-ball-is-life/,2,Ball Is Life,d3_sundays:ball-is-life,d3_sundays:ball-is-life:2025Su,49,33,14,7,3,19,71,0.268,6,32,0.188,5,9,0.556,14,12
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2026W,2026,W,2-ny-rockits-vs-6-shiesty-squad,https://tdlbasketball.com/event/2-ny-rockits-vs-6-shiesty-squad/,1,NY Rockits,d2_thursdays:ny-rockits,d2_thursdays:ny-rockits:2026W,93,46,27,8,4,34,77,0.442,13,33,0.394,12,16,0.75,4,8
d2_thursdays,D2 Thursdays,d3_mondays,D3 Mondays,2026W,2026,W,2-ny-rockits-vs-6-shiesty-squad,https://tdlbasketball.com/event/2-ny-rockits-vs-6-shiesty-squad/,2,Shiesty Squad,d2_thursdays:shiesty-squad,d2_thursdays:shiesty-squad:2026W,61,38,19,2,7,24,67,0.358,7,25,0.28,6,6,1.0,9,11
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,2-ny-rockits-vs-7-brickstone-associates,https://tdlbasketball.com/event/2-ny-rockits-vs-7-brickstone-associates/,1,NY Rockits,d3_mondays:ny-rockits,d3_mondays:ny-rockits:2025F,91,46,29,4,5,37,73,0.507,13,32,0.406,4,5,0.8,11,9
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2025F,2025,F,2-ny-rockits-vs-7-brickstone-associates,https://tdlbasketball.com/event/2-ny-rockits-vs-7-brickstone-associates/,2,Brickstone Associates,d3_mondays:brickstone-associates,d3_mondays:brickstone-associates:2025F,70,38,22,12,6,30,79,0.38,5,30,0.167,5,8,0.625,7,10
premier_wednesdays,Premier,d3_mondays,D3 Mondays,2026W,2026,W,2-overtime-vs-3-ratpack,https://tdlbasketball.com/event/2-overtime-vs-3-ratpack/,1,Overtime,premier_wednesdays:overtime,premier_wednesdays:overtime:2026W,79,27,20,6,2,28,61,0.459,13,27,0.481,10,12,0.833,5,13
premier_wednesdays,Premier,d3_mondays,D3 Mondays,2026W,2026,W,2-overtime-vs-3-ratpack,https://tdlbasketball.com/event/2-overtime-vs-3-ratpack/,2,Ratpack,premier_wednesdays:ratpack,premier_wednesdays:ratpack:2026W,77,37,14,4,5,26,63,0.413,10,24,0.417,15,18,0.833,5,13
d3_mondays,D3 Mondays,d3_mondays,D3 Mondays,2024Su,2024,SU,2-texas-elite-vs-7-the-quinnterns,https://tdlbasketball.com/event/2-texas-elite-vs-7-the-quinnterns/,1,Texas Elite,d3_mondays:texas-elite,d3_mondays:texas-elite:2024Su,56,32,16,3,9,19,59,0.322,11,37,0.297,7,16,0.438,9,12
